name,company,year,Price,kms_driven,fuel_type
hyundai elantra crdi,hyundai,2006,125000,120000,Diesel
chevrolet beat diesel,chevrolet,2012,250000,110000,Diesel
toyota corolla altis,toyota,2014,715000,234000,Diesel
hyundai i20 1.4,hyundai,2011,220000,70000,Diesel
tata indica vista,tata,2010,110000,110000,Diesel
hyundai verna xxi,hyundai,2007,150000,84000,Petrol
nissan sunny diesel,nissan,2012,300000,170000,Diesel
datsun redigo t,datsun,2017,220000,40000,Petrol
maruti wagon r,maruti,2006,75000,96000,Petrol
tata indigo ls,tata,2009,100000,20000,Diesel
ford figo aspire,ford,2016,380000,15000,Petrol
hyundai santro xing,hyundai,2007,100000,50000,Petrol
volkswagen passat 1.8,volkswagen,2010,480000,80000,Petrol
toyota etios gd,toyota,2012,300000,124000,Diesel
chevrolet beat diesel,chevrolet,2013,190000,70000,Diesel
ford figo diesel,ford,2012,190000,130000,Diesel
ford ecosport 1.5,ford,2017,650000,19014,Petrol
toyota corolla executive,toyota,2009,300000,23262,Petrol
ford freestyle titanium,ford,2016,700000,29600,Diesel
hyundai i10 sportz,hyundai,2015,310000,35925,Petrol
maruti ignis 1.2,maruti,2018,500000,12000,Petrol
toyota etios v,toyota,2013,415000,40771,Petrol
maruti celerio vxi,maruti,2015,395000,30500,Petrol
toyota etios liva,toyota,2014,430000,42000,Petrol
toyota corolla h6,toyota,2007,215000,55800,Petrol
renault duster rxl,renault,2014,550000,66569,Diesel
volkswagen polo 1.5,volkswagen,2014,415000,81358,Diesel
volkswagen polo 1.5,volkswagen,2015,450000,82695,Diesel
ford figo diesel,ford,2014,285000,68293,Diesel
honda jazz vx,honda,2016,580000,32000,Petrol
maruti swift dzire,maruti,2014,300000,190621,Diesel
hyundai verna crdi,hyundai,2018,1200000,60000,Diesel
maruti 800 std,maruti,2006,78000,64700,Petrol
maruti 800 ac,maruti,2002,65000,100000,Petrol
tata zest quadrajet,tata,2016,400000,88470,Diesel
hyundai verna 1.6,hyundai,2016,850000,75000,Diesel
volkswagen vento diesel,volkswagen,2013,450000,120000,Diesel
mercedes-benz e-class e250,mercedes-benz,2012,2500000,35000,Diesel
toyota etios 1.4,toyota,2017,780000,70000,Diesel
toyota fortuner 2.8,toyota,2017,3200000,57000,Diesel
maruti alto 800,maruti,2020,350000,1000,Petrol
mahindra quanto c6,mahindra,2013,285000,120000,Diesel
volkswagen vento 1.5,volkswagen,2015,525000,98000,Diesel
maruti ciaz zdi,maruti,2014,550000,90000,Diesel
volkswagen ameo 1.5,volkswagen,2018,580000,70000,Diesel
tata nano cx,tata,2013,75000,25000,Petrol
tata manza aura,tata,2009,185000,60000,Diesel
maruti omni e,maruti,2007,110000,90000,Petrol
honda city 1.5,honda,2004,180000,200000,Petrol
volkswagen polo diesel,volkswagen,2010,350000,110000,Diesel
chevrolet optra 1.6,chevrolet,2005,60000,126000,Petrol
mahindra tuv 300,mahindra,2018,695000,70000,Diesel
mahindra alturas g4,mahindra,2019,2700000,5000,Diesel
maruti zen estilo,maruti,2007,135000,74183,Petrol
mahindra bolero power,mahindra,2015,640000,70000,Diesel
maruti alto 800,maruti,2014,160000,90000,Petrol
tata indica lxi,tata,2004,80000,46000,Petrol
maruti swift dzire,maruti,2013,340000,110000,Diesel
maruti ritz vdi,maruti,2012,110000,80000,Diesel
tata sumo gold,tata,2013,250000,90000,Diesel
toyota innova crysta,toyota,2017,1300000,70000,Diesel
mahindra quanto c6,mahindra,2014,250000,1,Diesel
toyota innova 2.5,toyota,2009,450000,192000,Diesel
maruti wagon r,maruti,2013,240000,70000,Petrol
mahindra bolero di,mahindra,2007,225000,120000,Diesel
maruti wagon r,maruti,2015,275000,60000,Petrol
tata sumo victa,tata,2012,320000,120000,Diesel
maruti alto lx,maruti,2008,75000,120000,Petrol
tata indica gls,tata,2007,85000,50000,Petrol
tata indica vista,tata,2009,90000,120000,Diesel
maruti wagon r,maruti,2007,85000,80000,Petrol
mahindra scorpio m2di,mahindra,2008,350000,80000,Diesel
skoda superb elegance,skoda,2009,355000,100000,Diesel
maruti swift vxi,maruti,2020,619000,1500,Petrol
jeep compass 2.0,jeep,2018,1700000,50000,Diesel
tata indica dl,tata,2006,55000,100000,Diesel
ford fiesta 1.6,ford,2006,95000,83411,Petrol
volkswagen vento diesel,volkswagen,2011,300000,120000,Diesel
ford fiesta 1.6,ford,2006,81000,83411,Petrol
skoda superb elegance,skoda,2015,1000000,80000,Diesel
maruti ertiga vdi,maruti,2019,925000,50000,Diesel
mahindra bolero power,mahindra,2015,450000,40000,Diesel
mahindra scorpio ex,mahindra,2014,600000,13270,Diesel
hyundai santro xing,hyundai,2006,85000,100000,Petrol
mahindra thar di,mahindra,2016,700000,50000,Diesel
hyundai grand i10,hyundai,2017,486000,26500,Petrol
maruti swift vdi,maruti,2013,400000,90000,Diesel
ford fiesta 1.4,ford,2008,120000,100000,Petrol
maruti alto 800,maruti,2018,275000,35000,Petrol
hyundai i20 asta,hyundai,2016,580000,57000,Diesel
maruti swift dzire,maruti,2015,375000,70000,Petrol
maruti wagon r,maruti,2015,229999,100000,Petrol
maruti alto lx,maruti,2010,110000,88000,Petrol
maruti swift dzire,maruti,2017,600000,60000,Diesel
maruti a-star vxi,maruti,2009,120000,76000,Petrol
ford figo diesel,ford,2010,200000,100000,Diesel
hyundai verna 1.6,hyundai,2012,450000,110000,Diesel
hyundai verna 1.6,hyundai,2012,550000,80000,Diesel
maruti alto lx,maruti,2012,220000,80000,Petrol
maruti 800 ex,maruti,2001,40000,30000,Petrol
renault kwid climber,renault,2017,300000,20000,Petrol
mahindra bolero power,mahindra,2018,630000,40000,Diesel
maruti swift dzire,maruti,2017,610000,40000,Diesel
hyundai xcent 1.2,hyundai,2019,660000,7000,Petrol
maruti wagon r,maruti,2012,220000,80000,LPG
nissan micra diesel,nissan,2011,138000,90000,Diesel
nissan micra diesel,nissan,2013,210000,13770,Diesel
maruti zen lxi,maruti,2005,125000,34000,Petrol
maruti alto lxi,maruti,2008,125000,102000,Petrol
honda city i,honda,2014,725000,110000,Diesel
maruti alto k10,maruti,2011,170000,90000,Petrol
toyota innova 2.5,toyota,2015,1200000,70000,Diesel
maruti wagon r,maruti,2003,70000,90000,Petrol
maruti alto lxi,maruti,2007,100000,70000,Petrol
honda civic 1.8,honda,2006,300000,80000,Petrol
maruti swift vdi,maruti,2013,450000,100000,Diesel
maruti swift dzire,maruti,2015,530000,100000,Diesel
maruti zen estilo,maruti,2007,100000,143000,Petrol
honda city 1.5,honda,2010,350000,115000,Petrol
tata manza elan,tata,2011,165000,100000,Diesel
maruti swift dzire,maruti,2019,475000,120000,Diesel
mahindra xylo e4,mahindra,2013,350000,42000,Diesel
renault kwid rxl,renault,2016,229999,38000,Petrol
honda wr-v i-dtec,honda,2018,800000,35000,Diesel
maruti swift dzire,maruti,2014,475000,120000,Diesel
nissan terrano xl,nissan,2014,425000,136906,Diesel
maruti ciaz vdi,maruti,2015,660000,97000,Diesel
honda amaze s,honda,2019,610000,10000,Petrol
honda brio s,honda,2013,240000,50000,Petrol
maruti esteem lxi,maruti,2005,70000,60000,Petrol
toyota corolla altis,toyota,2011,550000,120000,Diesel
tata indica vista,tata,2010,100000,120000,Petrol
mahindra bolero sle,mahindra,2010,350000,90000,Diesel
hyundai eon era,hyundai,2013,200000,120000,Petrol
hyundai elite i20,hyundai,2019,720000,3000,Petrol
maruti ritz vdi,maruti,2014,350000,133000,Diesel
maruti wagon r,maruti,2016,400000,25000,Petrol
hyundai i20 active,hyundai,2017,570000,35000,Petrol
maruti omni mpi,maruti,2015,130000,70000,Petrol
maruti alto 800,maruti,2016,210000,52000,Petrol
hyundai creta 1.4,hyundai,2018,800000,52000,Diesel
honda jazz 1.5,honda,2017,700000,39000,Diesel
tata indica vista,tata,2011,200000,28689,Diesel
tata aria pure,tata,2014,495000,90000,Diesel
ford fiesta classic,ford,2014,325000,80322,Diesel
ford freestyle trend,ford,2019,650000,8000,Petrol
mahindra jeep mm,mahindra,2000,155000,50000,Diesel
maruti 800 ac,maruti,2007,75000,90000,Petrol
hyundai grand i10,hyundai,2015,350000,61658,Diesel
maruti zen estilo,maruti,2010,90000,50000,Petrol
maruti ertiga shvs,maruti,2016,600000,80000,Diesel
mahindra scorpio sle,mahindra,2010,400000,185000,Diesel
maruti swift vdi,maruti,2014,370000,57000,Diesel
maruti 800 dx,maruti,2000,50000,60000,Petrol
honda city 1.5,honda,2004,125000,120000,Petrol
honda cr-v diesel,honda,2018,1800000,26000,Diesel
hyundai grand i10,hyundai,2019,650000,20000,Petrol
maruti ertiga bsiv,maruti,2017,800000,30600,Petrol
volkswagen polo 1.0,volkswagen,2020,802000,5000,Petrol
audi a4 35,audi,2015,2300000,35000,Diesel
hyundai xcent 1.1,hyundai,2016,430000,35000,Diesel
hyundai verna 1.6,hyundai,2017,650000,23000,Petrol
mahindra scorpio 2.6,mahindra,2004,170000,120000,Diesel
skoda superb elegance,skoda,2011,450000,235000,Diesel
maruti alto 800,maruti,2013,250000,87000,Petrol
ford ecosport 1.0,ford,2014,550000,72000,Petrol
jaguar xf 3.0,jaguar,2013,2000000,64000,Diesel
maruti zen estilo,maruti,2007,140000,100000,Petrol
chevrolet beat lt,chevrolet,2012,155000,12000,Petrol
hyundai accent executive,hyundai,2010,120000,67000,Petrol
toyota innova 2.5,toyota,2012,287000,70000,Diesel
maruti baleno alpha,maruti,2016,675000,60000,Diesel
hyundai i10 magna,hyundai,2011,235000,74500,Petrol
hyundai i20 1.4,hyundai,2011,300000,118700,Diesel
nissan micra xl,nissan,2015,434999,40000,Petrol
mahindra scorpio vlx,mahindra,2004,225000,223660,Diesel
toyota corolla ae,toyota,2006,160000,140000,Petrol
hyundai grand i10,hyundai,2020,600000,5000,Petrol
chevrolet tavera neo,chevrolet,2016,470000,100000,Diesel
maruti swift dzire,maruti,2011,300000,100000,Petrol
maruti baleno delta,maruti,2018,600000,2000,Petrol
hyundai grand i10,hyundai,2020,640000,4000,Petrol
tata indica dls,tata,2006,50000,120000,Diesel
hyundai verna 1.6,hyundai,2015,600000,35000,Petrol
hyundai i10 magna,hyundai,2014,290000,29000,LPG
hyundai verna 1.6,hyundai,2015,600000,30000,Petrol
tata manza aqua,tata,2012,190000,120000,Diesel
hyundai i10 era,hyundai,2008,160000,110000,Petrol
maruti alto k10,maruti,2017,325000,15000,Petrol
mahindra bolero di,mahindra,2006,200000,73756,Diesel
toyota fortuner 2.8,toyota,2018,2800000,40000,Diesel
chevrolet spark 1.0,chevrolet,2011,125000,60000,Petrol
hyundai i10 magna,hyundai,2008,155000,60000,Petrol
hyundai i20 asta,hyundai,2015,550000,90000,Diesel
maruti wagon r,maruti,2009,130000,70000,Petrol
maruti 800 ac,maruti,2002,80000,70000,Petrol
toyota etios cross,toyota,2015,500000,80000,Diesel
renault kwid rxt,renault,2019,250000,27000,Petrol
mahindra xuv500 w8,mahindra,2012,580000,70000,Diesel
daewoo matiz sd,daewoo,2002,60000,50000,Petrol
toyota etios gd,toyota,2012,300000,185000,Diesel
ford figo diesel,ford,2014,200000,90000,Diesel
tata hexa xt,tata,2017,1200000,16400,Diesel
toyota etios cross,toyota,2015,350000,80000,Diesel
mahindra xuv500 w8,mahindra,2012,600000,80000,Diesel
honda jazz v,honda,2019,650000,4000,Petrol
maruti a-star lxi,maruti,2008,120000,40000,Petrol
tata new safari,tata,2010,180000,120000,Diesel
hyundai verna vtvt,hyundai,2018,950000,41395,Petrol
tata manza aura,tata,2012,250999,35000,Diesel
skoda laura ambiente,skoda,2012,385000,52000,Diesel
audi a8 l,audi,2009,1250000,47000,Diesel
chevrolet beat lt,chevrolet,2013,165000,50000,Petrol
hyundai elantra sx,hyundai,2015,700000,48000,Petrol
mahindra xuv500 w8,mahindra,2015,750000,53000,Diesel
mahindra renault logan,mahindra,2008,89999,213000,Diesel
datsun redi-go amt,datsun,2018,290000,15000,Petrol
tata nano cx,tata,2014,45000,7000,Petrol
skoda superb ambition,skoda,2013,675000,88000,Diesel
nissan terrano xl,nissan,2015,530000,55000,Diesel
bmw x1 sdrive20d,bmw,2014,1485000,48000,Diesel
chevrolet enjoy tcdi,chevrolet,2014,325000,71014,Diesel
honda amaze s,honda,2015,400000,60000,Diesel
mahindra kuv 100,mahindra,2017,380000,71000,Diesel
honda city i-vtec,honda,2016,750000,45000,Petrol
honda brio vx,honda,2017,390000,45000,Petrol
maruti alto lxi,maruti,2009,110000,20000,Petrol
mg hector sharp,mg,2019,1825000,14000,Diesel
audi a4 35,audi,2019,3256000,17000,Diesel
renault scala diesel,renault,2015,370000,60000,Diesel
chevrolet beat diesel,chevrolet,2013,210000,80000,Diesel
skoda laura ambiente,skoda,2007,175000,181000,Diesel
hyundai verna 1.6,hyundai,2012,575000,89550,Diesel
mahindra xylo d4,mahindra,2010,320000,90000,Diesel
maruti swift ldi,maruti,2010,280000,149500,Diesel
renault duster 85ps,renault,2013,500000,190000,Diesel
ford fiesta diesel,ford,2013,380000,83000,Diesel
maruti 800 ac,maruti,2005,120000,20000,Petrol
maruti eeco 5,maruti,2018,395000,20000,Petrol
skoda laura 1.9,skoda,2010,360000,160000,Diesel
nissan terrano xl,nissan,2015,451000,100000,Diesel
chevrolet spark 1.0,chevrolet,2010,175000,45000,Petrol
chevrolet spark 1.0,chevrolet,2009,170000,44800,Petrol
hyundai santro xing,hyundai,2006,100000,40000,Petrol
maruti omni mpi,maruti,2014,150000,120000,Petrol
tata indica vista,tata,2011,149000,10000,Diesel
tata indica vista,tata,2011,160000,80000,Diesel
datsun go plus,datsun,2018,434999,10000,Petrol
mahindra xuv500 w8,mahindra,2014,800000,156000,Diesel
toyota innova 2.5,toyota,2010,819999,120000,Diesel
maruti baleno vxi,maruti,2007,163000,100000,Petrol
mercedes-benz e-class 220,mercedes-benz,2001,350000,100000,Diesel
tata indica gls,tata,2006,75000,100000,Petrol
maruti alto lxi,maruti,2012,180000,60000,Petrol
ford figo aspire,ford,2017,675000,30000,Diesel
maruti swift vdi,maruti,2013,400000,170000,Diesel
volkswagen polo diesel,volkswagen,2013,434999,100000,Diesel
tata indigo glx,tata,2006,100000,110000,Petrol
maruti swift dzire,maruti,2015,419000,170000,Diesel
tata indica gls,tata,2009,200000,100000,Petrol
renault scala diesel,renault,2014,400000,35000,Diesel
ford ecosport 1.5,ford,2018,790000,40000,Diesel
renault duster 85ps,renault,2015,500000,90000,Diesel
skoda rapid 1.6,skoda,2012,275000,120000,Diesel
hyundai i20 1.4,hyundai,2012,450000,120000,Diesel
mahindra xuv500 w11,mahindra,2020,1400000,25000,Diesel
renault duster 110ps,renault,2015,800000,15000,Diesel
maruti wagon r,maruti,2014,315000,41000,Petrol
maruti baleno alpha,maruti,2019,700000,16000,Petrol
mahindra bolero slx,mahindra,2016,585000,51000,Diesel
chevrolet sail 1.2,chevrolet,2014,350000,30000,Petrol
honda city i-dtec,honda,2014,495000,80000,Diesel
hyundai grand i10,hyundai,2017,500000,50000,Petrol
hyundai grand i10,hyundai,2013,345000,44000,Petrol
maruti baleno sigma,maruti,2015,500000,10000,Petrol
maruti wagon r,maruti,2016,360000,33000,Petrol
maruti alto lxi,maruti,2010,210000,25000,Petrol
maruti alto k10,maruti,2014,220000,66000,Petrol
chevrolet aveo 1.4,chevrolet,2009,250000,48000,Petrol
toyota innova 2.5,toyota,2016,990000,146000,Diesel
mahindra quanto c4,mahindra,2013,220000,100000,Diesel
jaguar xf 3.0,jaguar,2012,1800000,50000,Diesel
honda city i,honda,2014,530000,50000,Petrol
maruti baleno alpha,maruti,2016,575000,50000,Diesel
mahindra xylo e4,mahindra,2012,400000,99000,Diesel
honda mobilio s,honda,2016,680000,50000,Diesel
hyundai santa fe,hyundai,2014,1000000,80000,Diesel
maruti alto 800,maruti,2016,260000,45000,Petrol
tata manza aura,tata,2010,150000,50000,Petrol
maruti alto lxi,maruti,2008,180000,70000,Petrol
force one ex,force,2014,346000,37516,Diesel
mahindra xylo d2,mahindra,2015,450000,20000,Diesel
hyundai grand i10,hyundai,2019,500000,5000,Petrol
hyundai grand i10,hyundai,2019,700000,8000,Diesel
maruti alto 800,maruti,2019,280000,25880,Petrol
hyundai santro magna,hyundai,2019,475000,10000,Petrol
maruti swift dzire,maruti,2009,300000,50000,Diesel
maruti alto k10,maruti,2014,200999,40000,Petrol
skoda laura 1.9,skoda,2009,200000,100000,Diesel
chevrolet aveo u-va,chevrolet,2009,210000,80000,Petrol
tata indigo ls,tata,2012,160000,110000,Diesel
hyundai verna crdi,hyundai,2009,175000,136000,Diesel
tata new safari,tata,2012,320000,80000,Diesel
maruti alto lxi,maruti,2009,110000,50000,Petrol
maruti wagon r,maruti,2008,300000,30000,Petrol
honda city v,honda,2012,700000,10000,Petrol
tata indica vista,tata,2009,135000,90000,Diesel
mahindra bolero power,mahindra,2015,500000,110000,Diesel
mahindra scorpio vlx,mahindra,2012,550000,120000,Diesel
toyota innova 2.5,toyota,2014,1050000,90000,Diesel
honda city i,honda,2016,500000,20000,Petrol
maruti ritz vdi,maruti,2011,180000,90000,Diesel
hyundai santro xing,hyundai,2010,170000,50000,Petrol
honda brio 1.2,honda,2019,484999,9000,Petrol
maruti a-star vxi,maruti,2011,150000,70000,Petrol
maruti alto k10,maruti,2018,380000,25000,Petrol
hyundai santro sportz,hyundai,2019,480000,10000,Petrol
tata indica vista,tata,2009,135000,90000,Diesel
volkswagen polo diesel,volkswagen,2011,290000,60000,Diesel
fiat linea dynamic,fiat,2013,350000,70000,Petrol
maruti alto 800,maruti,2014,110000,25000,Petrol
hyundai santro le,hyundai,2003,70000,80000,Petrol
volkswagen vento petrol,volkswagen,2011,300000,70000,Petrol
maruti alto 800,maruti,2017,180000,60000,Petrol
renault kwid rxl,renault,2020,300000,20000,Petrol
maruti baleno delta,maruti,2017,509000,60000,Petrol
maruti sx4 s,maruti,2016,650000,80000,Diesel
maruti swift vdi,maruti,2015,450000,70000,Diesel
mahindra jeep classic,mahindra,1999,170000,2020,Diesel
mahindra scorpio 2.6,mahindra,2007,210000,100000,Diesel
hyundai i20 asta,hyundai,2013,360000,80000,Diesel
toyota innova 2.5,toyota,2011,495000,120000,Diesel
maruti alto lx,maruti,2006,105000,100000,Petrol
hyundai i20 magna,hyundai,2010,270000,60000,Petrol
ford figo petrol,ford,2010,130000,110000,Petrol
honda city i,honda,2014,700000,90000,Diesel
chevrolet cruze ltz,chevrolet,2012,400000,40000,Diesel
maruti swift zxi,maruti,2009,250000,60000,Petrol
honda amaze vx,honda,2013,325000,94000,Diesel
maruti alto lxi,maruti,2008,69000,100000,Petrol
mahindra scorpio s11,mahindra,2018,1380000,25000,Diesel
maruti zen estilo,maruti,2007,90000,90000,Petrol
mahindra xuv500 w6,mahindra,2016,1000000,40000,Diesel
hyundai accent gle,hyundai,2010,145000,90000,CNG
maruti alto k10,maruti,2020,250000,1100,Petrol
maruti swift vdi,maruti,2011,256000,70000,Diesel
tata indica dls,tata,2005,70000,120000,Diesel
maruti wagon r,maruti,2000,50000,88500,Petrol
renault kwid rxt,renault,2016,240000,70000,Petrol
tata indica vista,tata,2010,97000,128000,Petrol
tata indigo cr4,tata,2012,130000,120000,Diesel
maruti swift 1.3,maruti,2009,199000,52536,Petrol
honda civic 1.8,honda,2006,125000,70000,Petrol
hyundai xcent 1.1,hyundai,2015,420000,60000,Diesel
mahindra nuvosport n8,mahindra,2016,525000,110000,Diesel
hyundai santro xing,hyundai,2008,125000,85000,Petrol
hyundai verna transform,hyundai,2010,325000,135000,Diesel
volkswagen vento new,volkswagen,2012,330000,86000,Diesel
maruti wagon r,maruti,2010,110000,50000,Petrol
maruti s-presso vxi,maruti,2019,450000,1950,Petrol
maruti swift 1.3,maruti,2005,85000,118400,Petrol
honda civic 1.8,honda,2007,229999,70000,Petrol
hyundai i10 magna,hyundai,2012,250000,60000,Petrol
ford ecosport 1.5,ford,2015,650000,68000,Diesel
maruti swift dzire,maruti,2017,600000,46507,Diesel
toyota etios liva,toyota,2017,650000,6480,Petrol
maruti vitara brezza,maruti,2017,750000,32077,Diesel
toyota yaris g,toyota,2018,850000,19107,Petrol
hyundai eon era,hyundai,2017,315000,18469,Petrol
maruti swift lxi,maruti,2015,415000,28217,Petrol
maruti ciaz zdi,maruti,2016,640000,72787,Diesel
maruti ciaz 1.4,maruti,2017,780000,31063,Petrol
toyota fortuner 4x2,toyota,2017,2595000,79641,Diesel
hyundai creta 1.6,hyundai,2015,850000,58692,Diesel
hyundai creta 1.6,hyundai,2015,900000,54784,Diesel
toyota corolla altis,toyota,2016,1150000,64156,Petrol
maruti esteem lxi,maruti,2007,75000,54000,Petrol
volkswagen vento diesel,volkswagen,2012,215000,97000,Diesel
maruti sx4 zxi,maruti,2009,130000,120000,Petrol
hyundai santro magna,hyundai,2019,400000,16000,Petrol
maruti swift dzire,maruti,2019,550000,60000,Petrol
chevrolet beat lt,chevrolet,2016,245000,52000,Petrol
maruti swift vdi,maruti,2010,320000,110000,Diesel
mahindra tuv 300,mahindra,2016,730000,60000,Diesel
ford fusion 1.6,ford,2005,120000,100000,Petrol
honda city i-vtec,honda,2017,950000,35000,Petrol
maruti wagon r,maruti,2017,350000,48000,Petrol
maruti esteem vxi,maruti,2005,100000,20000,Petrol
maruti wagon r,maruti,2017,350000,30000,Petrol
maruti wagon r,maruti,2005,80000,40000,Petrol
hyundai verna 1.6,hyundai,2013,370000,60000,Petrol
hyundai eon d,hyundai,2012,160000,70000,Petrol
tata sumo victa,tata,2009,130000,120000,Diesel
chevrolet sail hatchback,chevrolet,2016,250000,30000,Petrol
tata new safari,tata,2012,270000,80000,Diesel
bmw x1 sdrive,bmw,2019,2600000,9500,Diesel
hyundai eon era,hyundai,2013,160000,80000,Petrol
hyundai eon magna,hyundai,2016,229999,80000,Petrol
mahindra bolero power,mahindra,2017,750000,29000,Diesel
chevrolet optra magnum,chevrolet,2011,195000,120000,Diesel
toyota etios cross,toyota,2015,320000,60000,Petrol
mahindra scorpio s7,mahindra,2018,1100000,20000,Diesel
datsun redigo s,datsun,2016,270000,22000,Petrol
skoda fabia 1.2,skoda,2012,300000,50000,Petrol
chevrolet beat diesel,chevrolet,2012,200000,50000,Diesel
maruti zen estilo,maruti,2007,120000,81366,Petrol
maruti esteem vxi,maruti,2006,95000,110000,Petrol
volkswagen polo petrol,volkswagen,2013,400000,100000,Petrol
toyota innova 2.5,toyota,2006,229999,300000,Diesel
mahindra kuv 100,mahindra,2016,430000,20000,Diesel
renault fluence 1.5,renault,2012,300000,90000,Diesel
fiat linea dynamic,fiat,2013,350000,70000,Petrol
renault duster 110ps,renault,2013,450000,120000,Diesel
renault kwid rxt,renault,2016,200000,53000,Petrol
maruti alto 800,maruti,2017,250000,30000,Petrol
maruti swift dzire,maruti,2012,368000,90000,Petrol
maruti swift dzire,maruti,2012,368000,90000,Petrol
toyota innova 2.5,toyota,2014,650000,244000,Diesel
mahindra jeep cl,mahindra,1997,150000,120000,Diesel
maruti wagon r,maruti,2012,180000,60000,LPG
hyundai grand i10,hyundai,2017,525000,15000,Petrol
ford endeavour 4x4,ford,2005,350000,150000,Diesel
mahindra tuv 300,mahindra,2018,850000,30000,Diesel
volkswagen jetta 2.0,volkswagen,2011,350000,312000,Diesel
maruti esteem lxi,maruti,2007,75000,54000,Petrol
maruti swift 1.3,maruti,2005,160000,67000,Petrol
maruti swift ldi,maruti,2017,500000,40000,Diesel
hyundai santro xing,hyundai,2008,130000,100000,Petrol
tata zest quadrajet,tata,2015,350000,100000,Diesel
maruti wagon r,maruti,2005,70000,80000,Petrol
toyota innova 2.5,toyota,2014,750000,145000,Diesel
honda amaze vx,honda,2013,450000,53000,Diesel
maruti swift dzire,maruti,2015,430000,73000,Diesel
maruti sx4 vdi,maruti,2011,260000,90000,Diesel
maruti swift vdi,maruti,2013,370000,80000,Diesel
chevrolet aveo 1.4,chevrolet,2011,229999,100000,CNG
ford figo diesel,ford,2011,140000,90000,Diesel
toyota innova 2.5,toyota,2013,700000,200000,Diesel
hyundai elite i20,hyundai,2020,545000,7300,Petrol
datsun redigo t,datsun,2017,200000,30000,Petrol
tata safari storme,tata,2015,500000,120000,Diesel
maruti alto lxi,maruti,2008,70000,90000,Petrol
mahindra thar 4x4,mahindra,2013,580000,25000,Diesel
maruti eeco 5,maruti,2012,160000,70000,CNG
hyundai grand i10,hyundai,2018,450000,6000,Petrol
maruti alto lxi,maruti,2010,160000,36000,Petrol
maruti ertiga shvs,maruti,2016,760000,49000,Diesel
hyundai eon magna,hyundai,2015,300000,22000,Petrol
maruti omni 5,maruti,1998,50000,35000,LPG
mahindra bolero 2011-2019,mahindra,2019,800000,24000,Diesel
maruti swift dzire,maruti,2018,680000,20000,Diesel
maruti 800 duo,maruti,2009,85000,50000,LPG
toyota innova crysta,toyota,2016,1300000,70000,Diesel
maruti swift vxi,maruti,2016,500000,60000,Petrol
audi q5 2.0,audi,2015,3500000,35000,Diesel
hyundai accent glx,hyundai,2008,145000,60000,Petrol
mahindra quanto c6,mahindra,2013,300000,60000,Diesel
maruti swift vdi,maruti,2017,600000,60000,Diesel
maruti swift dzire,maruti,2015,400000,70000,Petrol
hyundai santro xing,hyundai,2007,130000,135000,Petrol
maruti 800 ac,maruti,2001,45000,72539,Petrol
maruti baleno zeta,maruti,2017,641000,25000,Petrol
maruti swift dzire,maruti,2015,650000,50000,Diesel
ford freestyle titanium,ford,2020,784000,101,Diesel
ford figo titanium,ford,2020,635000,101,Petrol
ford ecosport 1.5,ford,2020,1000000,101,Diesel
ford figo 1.5d,ford,2015,495000,52328,Diesel
hyundai santro xing,hyundai,2013,324000,30000,Petrol
ford endeavour 3.2,ford,2016,2100000,91505,Diesel
maruti alto 800,maruti,2018,200000,35000,Petrol
maruti swift dzire,maruti,2015,320000,60000,Diesel
hyundai eon magna,hyundai,2015,300000,20500,Petrol
tata indica vista,tata,2013,180000,200000,Diesel
toyota innova 2.5,toyota,2008,500000,154000,Diesel
toyota etios vx,toyota,2011,305000,120000,Petrol
maruti 800 ac,maruti,2009,125000,50000,Petrol
maruti swift dzire,maruti,2015,800000,135000,Diesel
mahindra scorpio sle,mahindra,2009,420000,100000,Diesel
maruti vitara brezza,maruti,2017,875000,40000,Diesel
maruti swift dzire,maruti,2014,580000,70000,Diesel
maruti swift ldi,maruti,2011,350000,133000,Diesel
hyundai accent gls,hyundai,2004,120000,110000,Petrol
tata indica vista,tata,2013,150000,180000,Diesel
renault duster 110ps,renault,2013,650000,120000,Diesel
maruti alto k10,maruti,2010,225000,80000,Petrol
honda amaze s,honda,2014,400000,15000,Petrol
hyundai getz gls,hyundai,2005,250000,70000,Petrol
hyundai santro xing,hyundai,2008,120000,41723,Petrol
maruti sx4 vxi,maruti,2010,250000,70000,Petrol
maruti alto k10,maruti,2012,175000,20000,Petrol
renault duster 85ps,renault,2013,450000,1000,Diesel
maruti ignis 1.3,maruti,2018,590000,26350,Diesel
tata indigo cs,tata,2015,225000,68745,Diesel
mahindra xuv500 w6,mahindra,2016,900000,47000,Diesel
maruti alto k10,maruti,2017,375000,27289,Petrol
hyundai eon era,hyundai,2016,320000,24662,Petrol
maruti swift dzire,maruti,2013,525000,37000,Diesel
nissan evalia xv,nissan,2014,650000,28245,Diesel
hyundai grand i10,hyundai,2017,575000,27005,Diesel
hyundai i10 magna,hyundai,2014,355000,39227,Petrol
mahindra kuv 100,mahindra,2016,470000,31367,Diesel
maruti wagon r,maruti,2008,221000,35008,Petrol
hyundai santro xing,hyundai,2009,195000,27005,Petrol
hyundai santro xing,hyundai,2004,90000,100005,Petrol
hyundai verna sx,hyundai,2013,580000,45264,Diesel
maruti eeco 7,maruti,2014,325000,39093,Petrol
honda city corporate,honda,2013,495000,45241,Petrol
